client_id,confirm,start,step_1,step_2,step_3,group
555,0.0,7.0,32.0,99.0,20.0,1
647,0.0,7.0,18.0,189.0,163.0,1
934,0.0,47.333333333333336,0.0,0.0,0.0,1
1336,0.0,25.0,26.0,51.0,109.0,1
1346,0.0,31.8,101.0,49.0,85.0,1
1516,0.0,22.666666666666668,45.0,168.0,256.0,1
1643,0.0,49.333333333333336,30.5,582.0,30.0,1
1755,0.0,63.5,35.0,33.0,56.0,1
1836,192.0,20.75,80.0,27.0,57.0,1
1936,0.0,26.25,13.0,35.5,9.5,1
2720,0.0,86.5,0.0,0.0,0.0,1
3232,0.0,14.0,13.0,266.0,27.0,1
3572,0.0,10.0,54.0,110.0,81.0,1
4369,0.0,11.0,26.0,47.0,548.0,1
4484,0.0,489.0,52.0,191.0,225.5,1
4603,0.0,5.0,25.0,32.0,97.0,1
4717,0.0,14.0,47.5,111.0,81.0,1
4870,0.0,5.0,293.0,91.0,23.0,1
5845,0.0,9.5,46.0,96.5,963.0,1
6022,0.0,251.0,132.0,0.0,0.0,1
6904,0.0,8.0,30.0,48.0,39.0,1
7561,0.0,14.5,16.0,83.0,0.0,1
7563,0.0,163.0,43.0,87.0,22.0,1
7657,0.0,3.0,99.0,64.0,21.0,1
7723,0.0,26.0,133.0,96.0,56.0,1
7934,0.0,30.0,18.0,0.0,0.0,1
8023,0.0,6.0,0.0,0.0,0.0,1
8055,0.0,22.0,82.0,52.0,141.0,1
8610,0.0,18.0,0.0,0.0,0.0,1
8712,0.0,36.5,5.5,609.0,0.0,1
8820,0.0,11.0,72.0,158.0,177.0,1
9751,0.0,12.5,8.5,40.5,0.0,1
9916,0.0,7.0,8.0,29.0,24.0,1
10363,0.0,56.0,0.0,0.0,0.0,1
11040,0.0,8.0,41.0,44.0,27.0,1
11309,0.0,10.0,25.0,126.0,37.0,1
11880,0.0,22.8,74.0,88.0,30.0,1
12785,0.0,23.0,20.0,73.0,900.0,1
13735,42.0,11.0,8.0,53.0,87.0,1
14690,0.0,95.0,25.0,0.0,0.0,1
15050,0.0,22.0,60.0,59.0,39.0,1
15189,0.0,8.0,28.0,89.0,22.0,1
15753,0.0,832.6666666666666,23.0,12.5,76.0,1
15807,0.0,10.0,42.0,53.0,51.0,1
16098,0.0,5.0,17.0,56.0,44.0,1
16295,0.0,27.666666666666668,79.66666666666667,103.0,84.0,1
17170,0.0,26.0,43.0,101.0,95.0,1
17318,0.0,15.0,82.0,24.0,149.0,1
17404,0.0,7.0,8.0,28.0,56.0,1
18549,0.0,4.0,13.0,119.0,17.0,1
19060,0.0,14.0,19.0,50.0,87.0,1
20185,0.0,172.16666666666666,21.3,239.9,354.0,1
20564,0.0,14.0,82.0,124.0,91.75,1
20643,0.0,7.0,38.0,56.0,17.0,1
20668,0.0,3.5,0.0,0.0,0.0,1
21200,0.0,12.0,74.0,46.0,169.0,1
21281,0.0,24.0,51.0,30.0,139.0,1
21403,0.0,43.333333333333336,0.0,0.0,0.0,1
21522,0.0,64.14285714285714,32.333333333333336,47.5,43.5,1
21596,0.0,10.5,152.0,61.0,65.0,1
22007,347.0,14.0,48.0,42.0,134.0,1
22793,0.0,11.0,20.0,0.0,0.0,1
23914,0.0,14.0,8.0,80.0,17.0,1
24443,0.0,63.0,31.0,252.8,132.5,1
24572,0.0,4.5,88.0,79.0,153.0,1
24703,0.0,10.0,36.0,126.0,131.0,1
24841,0.0,12.0,57.0,101.0,47.0,1
25022,0.0,39.0,71.0,133.0,325.0,1
25026,104.0,11.0,43.0,251.0,132.0,1
26036,0.0,3.0,10.0,33.0,15.0,1
26070,0.0,35.0,19.0,229.0,94.0,1
26105,0.0,25.5,22.0,39.0,40.0,1
26696,0.0,142.5,0.0,0.0,0.0,1
27075,0.0,9.0,11.0,23.0,32.0,1
27764,0.0,34.5,122.0,249.0,64.0,1
27907,0.0,4.0,6.0,52.0,309.0,1
28241,363.0,16.0,67.0,101.0,94.0,1
28371,0.0,7.0,22.5,272.0,27.0,1
29227,106.0,58.333333333333336,50.0,37.0,66.0,1
29527,0.0,15.0,70.0,91.5,90.0,1
30318,0.0,65.0,71.0,141.5,45.0,1
30493,0.0,90.5,41.333333333333336,26.0,267.0,1
31336,0.0,4.5,6.0,31.25,19.5,1
31404,0.0,12.0,42.0,88.0,56.0,1
31499,0.0,64.0,57.5,202.0,53.0,1
31597,0.0,27.5,24.333333333333332,27.0,156.5,1
31766,0.0,53.333333333333336,473.5,2398.0,0.0,1
32471,0.0,13.5,7.0,46.5,19.5,1
32521,0.0,29.0,72.0,26.0,71.0,1
32746,0.0,17.0,50.666666666666664,63.0,73.0,1
33265,0.0,22.0,33.0,163.0,25.0,1
33472,11.0,7.0,50.0,168.0,25.0,1
33752,0.0,9.0,38.0,17.0,38.0,1
34101,0.0,10.333333333333334,0.0,0.0,0.0,1
34608,0.0,22.0,0.0,0.0,0.0,1
35010,0.0,15.0,18.0,42.0,0.0,1
35091,0.0,8.0,35.0,0.0,0.0,1
35138,0.0,18.0,123.0,55.0,177.0,1
