process_step,duration,variation
confirm,5.666274625689519,Test
start,1.6685340931947705,Test
step_1,1.434233411277648,Test
step_2,1.8958909574468084,Test
step_3,2.513316267508007,Test
confirm,4.216266505636071,Control
start,1.7129491234235288,Control
step_1,1.0821347712728135,Control
step_2,1.9873914687959653,Control
step_3,2.810819228002877,Control
